SiteID, 70784.0,Site Timezone,-5.0,Data Timezone,0
Longitude, -75.000671
Latitude, 40.016705
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2012,1,1,0,0,9.82,1.794
2012,1,1,0,5,9.619,1.741
2012,1,1,0,10,9.378,1.677
2012,1,1,0,15,9.167,1.622
2012,1,1,0,20,9.036,1.587
2012,1,1,0,25,8.926,1.553
2012,1,1,0,30,8.89,1.54
2012,1,1,0,35,8.923,1.553
2012,1,1,0,40,8.978,1.573
2012,1,1,0,45,9.128,1.613
2012,1,1,0,50,9.281,1.6540000000000001
2012,1,1,0,55,9.409,1.688
2012,1,1,1,0,9.494,1.711
2012,1,1,1,5,9.543000000000001,1.725
2012,1,1,1,10,9.555,1.728
2012,1,1,1,15,9.61,1.743
2012,1,1,1,20,9.726,1.7750000000000001
2012,1,1,1,25,9.858,1.81
2012,1,1,1,30,9.986,1.84
2012,1,1,1,35,10.035,1.846
2012,1,1,1,40,10.025,1.845
2012,1,1,1,45,9.986,1.84
2012,1,1,1,50,9.971,1.838
2012,1,1,1,55,9.913,1.826
2012,1,1,2,0,9.809000000000001,1.799
2012,1,1,2,5,9.656,1.7590000000000001
2012,1,1,2,10,9.498,1.716
2012,1,1,2,15,9.372,1.683
2012,1,1,2,20,9.266,1.655
2012,1,1,2,25,9.177,1.6320000000000001
2012,1,1,2,30,9.083,1.607
2012,1,1,2,35,9.025,1.591
2012,1,1,2,40,8.96,1.575
2012,1,1,2,45,8.878,1.546
2012,1,1,2,50,8.814,1.522
2012,1,1,2,55,8.838000000000001,1.5310000000000001
2012,1,1,3,0,8.939,1.57
2012,1,1,3,5,9.055,1.601
2012,1,1,3,10,9.104000000000001,1.614
2012,1,1,3,15,9.079,1.608
2012,1,1,3,20,8.939,1.571
2012,1,1,3,25,8.734,1.493
2012,1,1,3,30,8.508000000000001,1.407
2012,1,1,3,35,8.337,1.342
2012,1,1,3,40,8.163,1.276
2012,1,1,3,45,8.038,1.228
2012,1,1,3,50,7.953,1.196
2012,1,1,3,55,7.892,1.172
2012,1,1,4,0,7.767,1.124
2012,1,1,4,5,7.6290000000000004,1.071
2012,1,1,4,10,7.498,1.02
2012,1,1,4,15,7.516,1.027
2012,1,1,4,20,7.662,1.084
2012,1,1,4,25,7.867,1.163
2012,1,1,4,30,8.15,1.272
2012,1,1,4,35,8.471,1.395
2012,1,1,4,40,8.727,1.493
2012,1,1,4,45,8.919,1.566
2012,1,1,4,50,9.069,1.607
2012,1,1,4,55,9.249,1.6560000000000001
2012,1,1,5,0,9.444,1.708
2012,1,1,5,5,9.713000000000001,1.78
2012,1,1,5,10,10.018,1.847
2012,1,1,5,15,10.305,1.883
2012,1,1,5,20,10.47,1.9040000000000001
2012,1,1,5,25,10.363,1.891
2012,1,1,5,30,10.153,1.864
2012,1,1,5,35,9.942,1.838
2012,1,1,5,40,9.695,1.776
2012,1,1,5,45,9.436,1.707
2012,1,1,5,50,9.253,1.6580000000000001
2012,1,1,5,55,9.207,1.645
2012,1,1,6,0,9.21,1.6460000000000001
2012,1,1,6,5,9.24,1.655
2012,1,1,6,10,9.338000000000001,1.681
2012,1,1,6,15,9.454,1.712
2012,1,1,6,20,9.576,1.745
2012,1,1,6,25,9.664,1.768
2012,1,1,6,30,9.671,1.77
2012,1,1,6,35,9.619,1.756
2012,1,1,6,40,9.53,1.732
2012,1,1,6,45,9.469,1.716
2012,1,1,6,50,9.417,1.702
2012,1,1,6,55,9.28,1.666
2012,1,1,7,0,9.066,1.609
2012,1,1,7,5,8.874,1.552
2012,1,1,7,10,8.828,1.5350000000000001
2012,1,1,7,15,8.914,1.568
2012,1,1,7,20,9.051,1.605
2012,1,1,7,25,9.048,1.604
2012,1,1,7,30,9.008000000000001,1.593
2012,1,1,7,35,8.972,1.584
2012,1,1,7,40,8.853,1.544
2012,1,1,7,45,8.657,1.47
2012,1,1,7,50,8.447000000000001,1.389
2012,1,1,7,55,8.23,1.306
2012,1,1,8,0,8.087,1.252
2012,1,1,8,5,7.837,1.156
2012,1,1,8,10,7.409,0.991
2012,1,1,8,15,6.946,0.812
2012,1,1,8,20,6.61,0.708
2012,1,1,8,25,6.439,0.655
2012,1,1,8,30,6.406,0.645
2012,1,1,8,35,6.436,0.654
2012,1,1,8,40,6.464,0.663
2012,1,1,8,45,6.506,0.676
2012,1,1,8,50,6.57,0.6950000000000001
2012,1,1,8,55,6.61,0.707
2012,1,1,9,0,6.692,0.733
2012,1,1,9,5,6.839,0.778
2012,1,1,9,10,7.016,0.839
2012,1,1,9,15,7.144,0.888
2012,1,1,9,20,7.181,0.902
2012,1,1,9,25,7.062,0.856
2012,1,1,9,30,6.851,0.781
2012,1,1,9,35,6.662,0.723
2012,1,1,9,40,6.515000000000001,0.678
2012,1,1,9,45,6.344,0.625
2012,1,1,9,50,6.122,0.557
2012,1,1,9,55,5.838,0.47700000000000004
2012,1,1,10,0,5.6000000000000005,0.422
2012,1,1,10,5,5.34,0.361
2012,1,1,10,10,4.974,0.276
2012,1,1,10,15,4.407,0.18
2012,1,1,10,20,3.973,0.108
2012,1,1,10,25,3.638,0.075
2012,1,1,10,30,3.503,0.062
2012,1,1,10,35,3.58,0.069
2012,1,1,10,40,3.738,0.084
2012,1,1,10,45,3.9370000000000003,0.10300000000000001
2012,1,1,10,50,4.229,0.15
2012,1,1,10,55,4.473,0.191
2012,1,1,11,0,4.5040000000000004,0.196
2012,1,1,11,5,4.452,0.187
2012,1,1,11,10,4.2940000000000005,0.161
2012,1,1,11,15,4.034,0.11800000000000001
2012,1,1,11,20,3.75,0.085
2012,1,1,11,25,3.604,0.07100000000000001
2012,1,1,11,30,3.515,0.063
2012,1,1,11,35,3.5060000000000002,0.062
2012,1,1,11,40,3.488,0.06
2012,1,1,11,45,3.43,0.054
2012,1,1,11,50,3.46,0.057
2012,1,1,11,55,3.5460000000000003,0.066
2012,1,1,12,0,3.576,0.068
2012,1,1,12,5,3.5060000000000002,0.062
2012,1,1,12,10,3.36,0.048
2012,1,1,12,15,3.262,0.038
2012,1,1,12,20,3.271,0.039
2012,1,1,12,25,3.3080000000000003,0.043000000000000003
2012,1,1,12,30,3.3930000000000002,0.051000000000000004
2012,1,1,12,35,3.5180000000000002,0.063
2012,1,1,12,40,3.616,0.07200000000000001
2012,1,1,12,45,3.668,0.077
2012,1,1,12,50,3.649,0.076
2012,1,1,12,55,3.619,0.073
2012,1,1,13,0,3.561,0.067
2012,1,1,13,5,3.494,0.061
2012,1,1,13,10,3.436,0.055
2012,1,1,13,15,3.427,0.054
