SiteID, 70784.0,Site Timezone,-5.0,Data Timezone,0
Longitude, -75.000671
Latitude, 40.016705
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2009,1,1,0,0,12.692,2.0
2009,1,1,0,5,12.067,2.0
2009,1,1,0,10,11.78,2.0
2009,1,1,0,15,11.578,1.993
2009,1,1,0,20,11.365,1.984
2009,1,1,0,25,11.249,1.979
2009,1,1,0,30,11.191,1.977
2009,1,1,0,35,11.261000000000001,1.979
2009,1,1,0,40,11.337,1.983
2009,1,1,0,45,11.398,1.985
2009,1,1,0,50,11.405,1.986
2009,1,1,0,55,11.276,1.98
2009,1,1,1,0,11.038,1.97
2009,1,1,1,5,10.76,1.959
2009,1,1,1,10,10.376,1.9100000000000001
2009,1,1,1,15,10.049,1.869
2009,1,1,1,20,9.771,1.833
2009,1,1,1,25,9.549,1.772
2009,1,1,1,30,9.607,1.788
2009,1,1,1,35,9.985,1.861
2009,1,1,1,40,10.99,1.968
2009,1,1,1,45,12.568,2.0
2009,1,1,1,50,13.565,2.0
2009,1,1,1,55,13.65,2.0
2009,1,1,2,0,13.397,2.0
2009,1,1,2,5,13.046000000000001,2.0
2009,1,1,2,10,12.615,2.0
2009,1,1,2,15,12.164,2.0
2009,1,1,2,20,11.868,2.0
2009,1,1,2,25,11.792,2.0
2009,1,1,2,30,11.914,2.0
2009,1,1,2,35,12.125,2.0
2009,1,1,2,40,12.287,2.0
2009,1,1,2,45,12.32,2.0
2009,1,1,2,50,12.25,2.0
2009,1,1,2,55,12.131,2.0
2009,1,1,3,0,12.055,2.0
2009,1,1,3,5,12.055,2.0
2009,1,1,3,10,12.11,2.0
2009,1,1,3,15,12.183,2.0
2009,1,1,3,20,12.235,2.0
2009,1,1,3,25,12.216000000000001,2.0
2009,1,1,3,30,12.162,2.0
2009,1,1,3,35,12.104000000000001,2.0
2009,1,1,3,40,12.116,2.0
2009,1,1,3,45,12.183,2.0
2009,1,1,3,50,12.296,2.0
2009,1,1,3,55,12.403,2.0
2009,1,1,4,0,12.488,2.0
2009,1,1,4,5,12.527000000000001,2.0
2009,1,1,4,10,12.485,2.0
2009,1,1,4,15,12.378,2.0
2009,1,1,4,20,12.228,2.0
2009,1,1,4,25,12.042,2.0
2009,1,1,4,30,11.825000000000001,2.0
2009,1,1,4,35,11.612,1.996
2009,1,1,4,40,11.465,1.99
2009,1,1,4,45,11.356,1.985
2009,1,1,4,50,11.307,1.983
2009,1,1,4,55,11.313,1.983
2009,1,1,5,0,11.38,1.986
2009,1,1,5,5,11.527000000000001,1.992
2009,1,1,5,10,11.686,1.999
2009,1,1,5,15,11.786,2.0
2009,1,1,5,20,11.804,2.0
2009,1,1,5,25,11.783,2.0
2009,1,1,5,30,11.749,2.0
2009,1,1,5,35,11.737,2.0
2009,1,1,5,40,11.798,2.0
2009,1,1,5,45,11.807,2.0
2009,1,1,5,50,11.822000000000001,2.0
2009,1,1,5,55,11.752,2.0
2009,1,1,6,0,11.569,1.994
2009,1,1,6,5,11.422,1.988
2009,1,1,6,10,11.489,1.991
2009,1,1,6,15,11.508000000000001,1.992
2009,1,1,6,20,11.523,1.992
2009,1,1,6,25,11.34,1.985
2009,1,1,6,30,11.102,1.975
2009,1,1,6,35,10.894,1.966
2009,1,1,6,40,10.717,1.959
